swaps_per_day,capacity_statechains,statecoins,liquidity,swapset_per_day,updated
15,464200000,327,93,30,Tue Jun 07 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
8,464200000,327,93,16,Wed Jun 08 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
68,464100000,329,92,142,Thu Jun 09 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
52,444000000,329,89,110,Fri Jun 10 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
21,443900000,329,88,44,Sat Jun 11 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
8,443900000,329,88,16,Sun Jun 12 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
33,443900000,329,88,66,Mon Jun 13 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
10,443900000,329,88,20,Tue Jun 14 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
29,443900000,329,88,58,Wed Jun 15 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
155,443500000,330,88,310,Thu Jun 16 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
13,444000000,331,89,26,Fri Jun 17 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
30,444000000,331,89,60,Sat Jun 18 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
7,444000000,331,89,14,Sun Jun 19 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
17,444100000,333,90,37,Mon Jun 20 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
4,438100000,333,88,8,Tue Jun 21 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
97,439100000,334,89,221,Wed Jun 22 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
75,439100000,334,89,150,Thu Jun 23 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
8,440100000,335,90,16,Fri Jun 24 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
68,440100000,335,90,136,Sat Jun 25 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
24,440000000,335,89,69,Mon Jun 27 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
53,500000000,337,91,106,Tue Jun 28 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
30,816000000,357,108,79,Wed Jun 29 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
238,660100000,370,105,840,Thu Jun 30 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
307,664000000,392,116,917,Fri Jul 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
21,556100000,393,99,42,Sat Jul 02 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
6,556100000,393,99,12,Sun Jul 03 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
82,561100000,394,100,314,Mon Jul 04 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
46,512000000,395,99,92,Tue Jul 05 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
7,461900000,395,97,14,Wed Jul 06 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
6,450900000,395,95,12,Thu Jul 07 2022 00:00:00 GMT+0000 (Coordinated Universal Time)
